arquivo,antena,unidade,teste,ensaio,tempo_s,status,latencia_ms,rssi_link_dbm,channel_burst,bssid_burst
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,142.32,OK,6.64,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,146.494,OK,7.23,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,150.653,OK,4.92,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,154.807,OK,4.72,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,159.013,OK,4.16,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,163.314,OK,10.89,-44.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,167.528,OK,22.13,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,171.664,OK,5.35,-47.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,175.783,OK,5.16,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,179.924,OK,4.61,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,184.099,OK,11.44,-43.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,188.255,OK,11.18,-45.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,192.375,OK,3.12,-46.0,11,84:0B:BB:2A:35:70
Ping_A4_U1_T1.txt,A4,U1,T1,A4_U1_T1,196.533,OK,8.5,-46.0,11,84:0B:BB:2A:35:70
