fase,antena,unidade,cenario,teste,arquivo,sample_idx,rssi
Fase 1,A0,U1,BASE,T1,A0_R1.txt,61,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,62,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,63,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,64,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,65,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,66,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,67,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,68,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,69,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,70,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,71,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,72,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,73,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,74,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,75,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,76,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,77,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,78,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,79,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,80,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,81,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,82,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,83,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,84,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,85,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,86,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,87,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,88,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,89,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,90,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,91,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,92,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,93,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,94,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,95,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,96,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,97,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,98,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,99,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,100,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,101,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,102,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,103,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,104,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,105,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,106,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,107,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,108,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,109,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,110,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,111,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,112,-45
Fase 1,A0,U1,BASE,T1,A0_R1.txt,113,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,114,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,115,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,116,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,117,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,118,-44
Fase 1,A0,U1,BASE,T1,A0_R1.txt,119,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,120,-43
Fase 1,A0,U1,BASE,T1,A0_R1.txt,121,-46
Fase 1,A0,U1,BASE,T1,A0_R1.txt,122,-45
