arquivo,basename,antena,unidade,teste,ensaio,tempo_abs_ms,tempo_rel_s,status,latencia_ms,ip,channel,bssid,rssi_link_dbm,reason
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,263758,246.542,OK,6.29,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,267892,250.676,OK,4.95,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,272033,254.817,OK,5.31,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,276172,258.956,OK,3.45,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,280308,263.092,OK,4.39,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,284498,267.282,OK,11.51,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,288643,271.427,OK,5.36,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,292787,275.571,OK,4.32,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,296958,279.742,OK,9.92,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,301135,283.919,OK,8.2,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,305270,288.054,OK,3.34,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,309425,292.209,OK,3.96,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,313711,296.495,OK,3.26,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,317849,300.633,OK,7.31,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,322250,305.034,OK,53.86,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,326449,309.233,OK,13.04,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,330625,313.409,OK,11.75,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,334784,317.568,OK,7.91,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,338989,321.773,OK,6.6,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,343136,325.92,OK,5.84,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,347297,330.081,OK,10.75,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,351431,334.215,OK,4.24,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,355587,338.371,OK,7.94,192.168.15.1,11,84:0B:BB:2A:35:70,-53.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,359724,342.508,OK,4.03,192.168.15.1,11,84:0B:BB:2A:35:70,-51.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,363849,346.633,OK,3.15,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,368024,350.808,OK,11.53,192.168.15.1,11,84:0B:BB:2A:35:70,-48.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,372160,354.944,OK,3.41,192.168.15.1,11,84:0B:BB:2A:35:70,-48.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,376313,359.097,OK,7.76,192.168.15.1,11,84:0B:BB:2A:35:70,-48.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,380578,363.362,OK,3.03,192.168.15.1,11,84:0B:BB:2A:35:70,-61.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,384715,367.499,OK,3.65,192.168.15.1,11,84:0B:BB:2A:35:70,-48.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,388851,371.635,OK,6.65,192.168.15.1,11,84:0B:BB:2A:35:70,-48.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,392991,375.775,OK,6.93,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,397127,379.911,OK,4.29,192.168.15.1,11,84:0B:BB:2A:35:70,-49.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,401504,384.288,OK,54.41,192.168.15.1,11,84:0B:BB:2A:35:70,-52.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,405701,388.485,OK,15.5,192.168.15.1,11,84:0B:BB:2A:35:70,-51.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,409844,392.628,OK,5.82,192.168.15.1,11,84:0B:BB:2A:35:70,-53.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,414021,396.805,OK,12.12,192.168.15.1,11,84:0B:BB:2A:35:70,-56.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,418173,400.957,OK,4.78,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,422313,405.097,OK,5.45,192.168.15.1,11,84:0B:BB:2A:35:70,-50.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,426467,409.251,OK,8.09,192.168.15.1,11,84:0B:BB:2A:35:70,-41.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,430630,413.414,OK,7.16,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,434768,417.552,OK,3.37,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
